"firstname"
"Arthur"
"Gérard"
"Donna"
"Frances H."
"George P."
"Sir Gregory P."
"James P."
"Tasuku"
"Denis"
"Nadia"
"William D."
"Paul M."
"Rainer"
"Barry C."
"Kip S."
"Jacques"
"Joachim"
"Richard"
"Jeffrey C."
"Michael"
"Michael W."
"Kazuo"
"International Campaign to Abolish Nuclear Weapons (ICAN)"
"Richard H."
"David J."
"F. Duncan M."
"J. Michael"
"Jean-Pierre"
"Sir J. Fraser"
"Bernard L."
"Yoshinori"
"Bob"
"Juan Manuel"
"Oliver"
"Bengt"
"Takaaki"
"Arthur B."
"Tomas"
"Paul"
"Aziz"
"William C."
"Satoshi"
"Youyou"
"Svetlana"
"National Dialogue Quartet"
"Angus"
"Isamu"
"Hiroshi"
"Shuji"
"Eric"
"Stefan W."
"William E."
"John"
"May-Britt"
"Edvard I."
"Patrick"
"Kailash"
"Malala"
"Jean"
"François"
"Peter W."
"Martin"
"Michael"
"Arieh"
"James E."
"Randy W."
"Thomas C."
"Alice"
"Organisation for the Prohibition of Chemical Weapons (OPCW)"
"Eugene F."
"Lars Peter"
"Robert J."
"Serge"
"David J."
"Robert J."
"Brian K."
"Sir John B."
"Shinya"
"Mo"
"European Union (EU)"
"Alvin E."
"Lloyd S."
"Saul"
"Brian P."
"Adam G."
"Dan"
"Bruce A."
"Jules A."
"Ralph M."
"Tomas"
"Ellen"
"Leymah"
"Tawakkol"
"Thomas J."
"Christopher A."
"Andre"
"Konstantin"
"Richard F."
"Ei-ichi"
"Akira"
"Robert G."
"Mario"
"Liu"
"Peter A."
"Dale T."
"Christopher A."
"Charles Kuen"
"Willard S."
"George E."
"Venkatraman"
"Thomas A."
"Ada E."
"Elizabeth H."
"Carol W."
"Jack W."
"Herta"
"Barack H."
"Elinor"
"Oliver E."
"Yoichiro"
"Makoto"
"Toshihide"
"Osamu"
"Martin"
"Roger Y."
"Harald"
"Françoise"
"Luc"
"Jean-Marie Gustave"
"Martti"
"Paul"
"Albert"
"Peter"
"Gerhard"
"Mario R."
"Sir Martin J."
"Oliver"
"Doris"
