"surname"
"Ashkin"
"Mourou"
"Strickland"
"Arnold"
"Smith"
"Winter"
"Allison"
"Honjo"
"Mukwege"
"Murad"
"Nordhaus"
"Romer"
"Weiss"
"Barish"
"Thorne"
"Dubochet"
"Frank"
"Henderson"
"Hall"
"Rosbash"
"Young"
"Ishiguro"
NA
"Thaler"
"Thouless"
"Haldane"
"Kosterlitz"
"Sauvage"
"Stoddart"
"Feringa"
"Ohsumi"
"Dylan"
"Santos"
"Hart"
"Holmström"
"Kajita"
"McDonald"
"Lindahl"
"Modrich"
"Sancar"
"Campbell"
"Ōmura"
"Tu"
"Alexievich"
NA
"Deaton"
"Akasaki"
"Amano"
"Nakamura"
"Betzig"
"Hell"
"Moerner"
"O'Keefe"
"Moser"
"Moser"
"Modiano"
"Satyarthi"
"Yousafzai"
"Tirole"
"Englert"
"Higgs"
"Karplus"
"Levitt"
"Warshel"
"Rothman"
"Schekman"
"Südhof"
"Munro"
NA
"Fama"
"Hansen"
"Shiller"
"Haroche"
"Wineland"
"Lefkowitz"
"Kobilka"
"Gurdon"
"Yamanaka"
"Yan"
NA
"Roth"
"Shapley"
"Perlmutter"
"Schmidt"
"Riess"
"Shechtman"
"Beutler"
"Hoffmann"
"Steinman"
"Tranströmer"
"Johnson Sirleaf"
"Gbowee"
"Karman"
"Sargent"
"Sims"
"Geim"
"Novoselov"
"Heck"
"Negishi"
"Suzuki"
"Edwards"
"Vargas Llosa"
"Xiaobo"
"Diamond"
"Mortensen"
"Pissarides"
"Kao"
"Boyle"
"Smith"
"Ramakrishnan"
"Steitz"
"Yonath"
"Blackburn"
"Greider"
"Szostak"
"Müller"
"Obama"
"Ostrom"
"Williamson"
"Nambu"
"Kobayashi"
"Maskawa"
"Shimomura"
"Chalfie"
"Tsien"
"zur Hausen"
"Barré-Sinoussi"
"Montagnier"
"Le Clézio"
"Ahtisaari"
"Krugman"
"Fert"
"Grünberg"
"Ertl"
"Capecchi"
"Evans"
"Smithies"
"Lessing"
NA
"Gore Jr."
"Hurwicz"
"Maskin"
"Myerson"
"Mather"
"Smoot"
"Kornberg"
"Fire"
"Mello"
"Pamuk"
"Yunus"
NA
"Phelps"
"Glauber"
"Hall"
"Hänsch"
"Chauvin"
"Grubbs"
"Schrock"
"Marshall"
"Warren"
"Pinter"
NA
"ElBaradei"
"Aumann"
"Schelling"
"Gross"
"Politzer"
"Wilczek"
"Ciechanover"
"Hershko"
"Rose"
"Axel"
"Buck"
"Jelinek"
"Maathai"
"Kydland"
"Prescott"
"Abrikosov"
"Ginzburg"
"Leggett"
"Agre"
"MacKinnon"
"Lauterbur"
"Mansfield"
"Coetzee"
"Ebadi"
"Engle III"
"Granger"
"Davis Jr."
"Koshiba"
"Giacconi"
"Fenn"
"Tanaka"
"Wüthrich"
"Brenner"
"Horvitz"
"Sulston"
"Kertész"
"Carter"
"Kahneman"
"Smith"
"Cornell"
"Ketterle"
"Wieman"
"Knowles"
"Noyori"
"Sharpless"
"Hartwell"
"Hunt"
"Nurse"
"Naipaul"
NA
"Annan"
"Akerlof"
"Spence"
"Stiglitz"
"Alferov"
"Kroemer"
"Kilby"
"Heeger"
"MacDiarmid"
"Shirakawa"
"Carlsson"
"Greengard"
"Kandel"
