"firstname"-"surname"
"Arthur"-"Ashkin"
"Gérard"-"Mourou"
"Donna"-"Strickland"
"Frances H."-"Arnold"
"George P."-"Smith"
"Sir Gregory P."-"Winter"
"James P."-"Allison"
"Tasuku"-"Honjo"
"Denis"-"Mukwege"
"Nadia"-"Murad"
"William D."-"Nordhaus"
"Paul M."-"Romer"
"Rainer"-"Weiss"
"Barry C."-"Barish"
"Kip S."-"Thorne"
"Jacques"-"Dubochet"
"Joachim"-"Frank"
"Richard"-"Henderson"
"Jeffrey C."-"Hall"
"Michael"-"Rosbash"
"Michael W."-"Young"
"Kazuo"-"Ishiguro"
"International Campaign to Abolish Nuclear Weapons (ICAN)"-NA
"Richard H."-"Thaler"
"David J."-"Thouless"
"F. Duncan M."-"Haldane"
"J. Michael"-"Kosterlitz"
"Jean-Pierre"-"Sauvage"
"Sir J. Fraser"-"Stoddart"
"Bernard L."-"Feringa"
"Yoshinori"-"Ohsumi"
"Bob"-"Dylan"
"Juan Manuel"-"Santos"
"Oliver"-"Hart"
"Bengt"-"Holmström"
"Takaaki"-"Kajita"
"Arthur B."-"McDonald"
"Tomas"-"Lindahl"
"Paul"-"Modrich"
"Aziz"-"Sancar"
"William C."-"Campbell"
"Satoshi"-"Ōmura"
"Youyou"-"Tu"
"Svetlana"-"Alexievich"
"National Dialogue Quartet"-NA
"Angus"-"Deaton"
"Isamu"-"Akasaki"
"Hiroshi"-"Amano"
"Shuji"-"Nakamura"
"Eric"-"Betzig"
"Stefan W."-"Hell"
"William E."-"Moerner"
"John"-"O'Keefe"
"May-Britt"-"Moser"
"Edvard I."-"Moser"
"Patrick"-"Modiano"
"Kailash"-"Satyarthi"
"Malala"-"Yousafzai"
"Jean"-"Tirole"
"François"-"Englert"
"Peter W."-"Higgs"
"Martin"-"Karplus"
"Michael"-"Levitt"
"Arieh"-"Warshel"
"James E."-"Rothman"
"Randy W."-"Schekman"
"Thomas C."-"Südhof"
"Alice"-"Munro"
"Organisation for the Prohibition of Chemical Weapons (OPCW)"-NA
"Eugene F."-"Fama"
"Lars Peter"-"Hansen"
"Robert J."-"Shiller"
"Serge"-"Haroche"
"David J."-"Wineland"
"Robert J."-"Lefkowitz"
"Brian K."-"Kobilka"
"Sir John B."-"Gurdon"
"Shinya"-"Yamanaka"
"Mo"-"Yan"
"European Union (EU)"-NA
"Alvin E."-"Roth"
"Lloyd S."-"Shapley"
"Saul"-"Perlmutter"
"Brian P."-"Schmidt"
"Adam G."-"Riess"
"Dan"-"Shechtman"
"Bruce A."-"Beutler"
"Jules A."-"Hoffmann"
"Ralph M."-"Steinman"
"Tomas"-"Tranströmer"
"Ellen"-"Johnson Sirleaf"
"Leymah"-"Gbowee"
"Tawakkol"-"Karman"
"Thomas J."-"Sargent"
"Christopher A."-"Sims"
"Andre"-"Geim"
"Konstantin"-"Novoselov"
"Richard F."-"Heck"
"Ei-ichi"-"Negishi"
"Akira"-"Suzuki"
"Robert G."-"Edwards"
"Mario"-"Vargas Llosa"
"Liu"-"Xiaobo"
"Peter A."-"Diamond"
"Dale T."-"Mortensen"
"Christopher A."-"Pissarides"
"Charles Kuen"-"Kao"
"Willard S."-"Boyle"
"George E."-"Smith"
"Venkatraman"-"Ramakrishnan"
"Thomas A."-"Steitz"
"Ada E."-"Yonath"
"Elizabeth H."-"Blackburn"
"Carol W."-"Greider"
"Jack W."-"Szostak"
"Herta"-"Müller"
"Barack H."-"Obama"
"Elinor"-"Ostrom"
"Oliver E."-"Williamson"
"Yoichiro"-"Nambu"
"Makoto"-"Kobayashi"
"Toshihide"-"Maskawa"
"Osamu"-"Shimomura"
"Martin"-"Chalfie"
"Roger Y."-"Tsien"
"Harald"-"zur Hausen"
"Françoise"-"Barré-Sinoussi"
"Luc"-"Montagnier"
"Jean-Marie Gustave"-"Le Clézio"
