Labroides_dimidiatus,Labridae,Perciformes,14,TL
Labroides_rubrolabiatus,Labridae,Perciformes,9,TL
Labropsis_australis,Labridae,Perciformes,10.5,TL
Labrus_bergylta,Labridae,Perciformes,65.9,TL
Labrus_merula,Labridae,Perciformes,45,SL
Labrus_mixtus,Labridae,Perciformes,40,SL
Lachnolaimus_maximus,Labridae,Perciformes,91,TL
Lappanella_fasciata,Labridae,Perciformes,15,SL
Larabicus_quadrilineatus,Labridae,Perciformes,11.5,TL
Leptojulis_cyanopleura,Labridae,Perciformes,13,TL
Macropharyngodon_bipartitus_bipartitus,Labridae,Perciformes,13,TL
Macropharyngodon_choati,Labridae,Perciformes,7.6,SL
Macropharyngodon_cyanoguttatus,Labridae,Perciformes,11.5,TL
Macropharyngodon_geoffroy,Labridae,Perciformes,15,TL
Macropharyngodon_kuiteri,Labridae,Perciformes,10,TL
Macropharyngodon_meleagris,Labridae,Perciformes,15,SL
Macropharyngodon_negrosensis,Labridae,Perciformes,12,TL
Macropharyngodon_ornatus,Labridae,Perciformes,13,TL
Malapterus_reticulatus,Labridae,Perciformes,NA,NA
Notolabrus_fucicola,Labridae,Perciformes,38,TL
Notolabrus_gymnogenis,Labridae,Perciformes,23,SL
Notolabrus_parilus,Labridae,Perciformes,NA,NA
Notolabrus_tetricus,Labridae,Perciformes,50,TL
Novaculichthys_macrolepidotus,Labridae,Perciformes,15,TL
Novaculichthys_taeniourus,Labridae,Perciformes,30,TL
Ophthalmolepis_lineolata,Labridae,Perciformes,40,TL
Oxycheilinus_bimaculatus,Labridae,Perciformes,15,TL
Oxycheilinus_celebicus,Labridae,Perciformes,24,TL
Oxycheilinus_digramma,Labridae,Perciformes,40,SL
Oxycheilinus_unifasciatus,Labridae,Perciformes,46,TL
Oxyjulis_californica,Labridae,Perciformes,25,TL
Pictilabrus_laticlavius,Labridae,Perciformes,23,SL
Pseudocheilinus_octotaenia,Labridae,Perciformes,14,SL
Pseudocoris_heteroptera,Labridae,Perciformes,20,TL
Pseudocoris_yamashiroi,Labridae,Perciformes,16,TL
Pseudodax_moluccanus,Labridae,Perciformes,30,TL
Pseudojuloides_atavai,Labridae,Perciformes,13,TL
Pseudojuloides_cerasinus,Labridae,Perciformes,12.3,TL
Pseudolabrus_gayi,Labridae,Perciformes,9.7,SL
Pseudolabrus_japonicus,Labridae,Perciformes,25,TL
Pteragogus_cryptus,Labridae,Perciformes,9.5,TL
Pteragogus_enneacanthus,Labridae,Perciformes,NA,NA
Semicossyphus_darwini,Labridae,Perciformes,70,TL
Semicossyphus_pulcher,Labridae,Perciformes,91,TL
Stethojulis_albovittata,Labridae,Perciformes,14,TL
Stethojulis_balteata,Labridae,Perciformes,15,TL
Stethojulis_bandanensis,Labridae,Perciformes,15,TL
Stethojulis_trilineata,Labridae,Perciformes,15,TL
Suezichthys_gracilis,Labridae,Perciformes,16,TL
Symphodus_bailloni,Labridae,Perciformes,20,SL
Symphodus_cinereus,Labridae,Perciformes,16,TL
Symphodus_doderleini,Labridae,Perciformes,10,SL
Symphodus_mediterraneus,Labridae,Perciformes,18,SL
Symphodus_melanocercus,Labridae,Perciformes,14,TL
Symphodus_melops,Labridae,Perciformes,28,SL
Symphodus_ocellatus,Labridae,Perciformes,12,SL
Symphodus_roissali,Labridae,Perciformes,17,SL
Symphodus_rostratus,Labridae,Perciformes,13,SL
Symphodus_tinca,Labridae,Perciformes,44,SL
Tautoga_onitis,Labridae,Perciformes,91,TL
Tautogolabrus_adspersus,Labridae,Perciformes,38,TL
Thalassoma_amblycephalum,Labridae,Perciformes,16,SL
Thalassoma_ascensionis,Labridae,Perciformes,10,SL
Thalassoma_ballieui,Labridae,Perciformes,39.5,TL
Thalassoma_bifasciatum,Labridae,Perciformes,25,TL
Thalassoma_cupido,Labridae,Perciformes,20,TL
Thalassoma_duperrey,Labridae,Perciformes,28,TL
Thalassoma_genivittatum,Labridae,Perciformes,20,TL
Thalassoma_hardwicke,Labridae,Perciformes,20,TL
Thalassoma_hebraicum,Labridae,Perciformes,23,TL
Thalassoma_jansenii,Labridae,Perciformes,20,TL
Thalassoma_loxum,Labridae,Perciformes,18,TL
Thalassoma_lunare,Labridae,Perciformes,25,TL
Thalassoma_lutescens,Labridae,Perciformes,30,TL
Thalassoma_newtoni,Labridae,Perciformes,NA,NA
Thalassoma_noronhanum,Labridae,Perciformes,13.3,SL
Thalassoma_pavo,Labridae,Perciformes,25,SL
Thalassoma_purpureum,Labridae,Perciformes,46,TL
Thalassoma_quinquevittatum,Labridae,Perciformes,17,TL
Thalassoma_robertsoni,Labridae,Perciformes,7.8,SL
Thalassoma_septemfasciatum,Labridae,Perciformes,31,TL
Thalassoma_trilobatum,Labridae,Perciformes,30,TL
Wetmorella_nigropinnata,Labridae,Perciformes,8,TL
Xiphocheilus_typus,Labridae,Perciformes,12,SL
Xyrichtys_martinicensis,Labridae,Perciformes,15,TL
Xyrichtys_novacula,Labridae,Perciformes,38,TL
Xyrichtys_splendens,Labridae,Perciformes,17.5,TL
